["france", 8351]
["trierweiler", 1143]
["figaro", 1138]
["doit", 1137]
["mieux", 1125]
["samedi", 1124]
["madame", 1117]
["nation", 1107]
["candidat", 1099]
["candidature", 1094]
["mai", 1094]
["\u00e9lue", 1094]
["discours", 1089]
["nouvelle", 1086]
["end", 1085]
["venez", 1081]
["bonne", 1081]
["coup", 1080]
["socialistes", 1078]
["id\u00e9es", 1077]
["temps", 1072]
["fin", 1071]
["rtl", 1067]
["pr\u00e9sidence", 1051]
["elys\u00e9e", 1045]
["solutions", 1041]
["civ", 1034]
["rolex", 1026]
["clifci", 1019]
["rennes", 1012]
["merde", 1011]
["pouvoir", 1008]
["vrai", 996]
["deux", 991]
["jours", 989]
["lol", 987]
["demande", 983]
["toulouse", 982]
["moment", 979]
["mes", 978]
["hall", 976]
["jeudi", 970]
["parti", 969]
["visite", 968]
["albert", 965]
["casino", 961]
["and", 961]
["pr\u00e9sident", 956]
["date", 952]
["live", 946]
["belle", 936]
["luxe", 935]
["rendez", 935]
["aigle", 933]
["avenir", 920]
["mal", 912]
["hommes", 912]
["ministre", 911]
["nantes", 907]
["interview", 885]
["partie", 884]
["prix", 884]
["cpolitique", 880]
["gens", 880]
["beaucoup", 873]
["gagner", 868]
["livre", 868]
["tudor", 866]
["photos", 864]
["critique", 863]
["syst\u00e8me", 860]
["pense", 859]
["moins", 858]
["chose", 850]
["femmes", 847]
["officiel", 833]
["acheter", 821]
["point", 820]
["concert", 819]
["twitter", 816]
["peuple", 809]
["force", 808]
["soutiens", 807]
["candidats", 806]
["prochain", 806]
["crise", 805]
["gouvernement", 793]
["val\u00e9rie", 788]
["bite", 784]
["travail", 779]
["projet", 778]
["devant", 771]
["nom", 770]
["stardoll", 768]
["dame", 768]
["canal", 766]
["annonce", 755]
["d\u00e9nonce", 749]
["grande", 749]
["aime", 739]
["rencontre", 735]
["falorni", 734]
["serre", 734]
["blog", 728]
["primairesps", 726]
["terre", 724]
["for", 721]
["journal", 720]
["question", 720]
["parler", 719]
["vot\u00e9", 719]
["citoyennes", 716]
["marseille", 714]
["r\u00e9publique", 713]
["info", 708]
["t\u00e9l\u00e9", 708]
["safran", 705]
["club", 702]
["pme", 701]
["donne", 699]
["programme", 695]
["mettre", 691]
["primaireps", 687]
["propositions", 686]
["bruxelles", 682]
["bravo", 681]
["ici", 680]
["montre", 679]
["watch", 677]
["prend", 674]
["pays", 673]
["journalistes", 665]
["licenciements", 664]
["amp", 663]
["dernier", 660]
["photodelasemaine", 658]
["fou", 658]
["enfants", 656]
["pol\u00e9mique", 654]
["invite", 653]
["inter", 651]
["citoyenne", 650]
["parole", 649]
["passe", 643]
["trouve", 643]
["droit", 641]
["lang", 640]
["soutient", 639]
["minutes", 636]
["soir\u00e9e", 626]
["\u00e8re", 625]
["c\u2019est", 623]
["crois", 622]
["personne", 621]
["jeunes", 620]
["militants", 617]
["\u00e9quipe", 615]
["quelle", 611]
["changement", 609]
["mars", 604]
["cinq", 602]
["partir", 601]
["num\u00e9ro", 600]
["sondage", 598]
["lance", 597]
["fillon", 595]
["courage", 594]
["besoin", 592]
["gold", 591]
["personnes", 591]
["questions", 589]
["navy", 587]
["charente", 586]
["\u00e9lecteurs", 584]
["choix", 583]
["lire", 580]
["enfin", 580]
["deluxe", 579]
["air", 578]
["lib\u00e9ration", 578]
["bataclan", 573]
["sudouest", 572]
["pr\u00e9sente", 572]
["votez", 572]
["r\u00e9forme", 568]
["news", 566]
["respect", 566]
["pire", 566]
["vincent", 565]
["pierre", 561]
["it\u00e9l\u00e9", 559]
["\u00e9ducation", 556]
["allez", 555]
["plainte", 548]
["reste", 547]
["publique", 545]
["vendredi", 543]
["mdr", 540]
["envie", 539]
["pris", 535]
["bacon", 535]
["etat", 535]
["appelle", 535]
["combat", 533]
["commence", 530]
["rmc", 530]
["attaque", 530]
["\u00e9cole", 527]
["inconnue", 527]
["histoire", 525]
["journaliste", 524]
["ton", 524]
["r\u00e8gle", 523]
["loi", 523]
["visiter", 522]
["post", 521]
["scolaires", 520]
["d\u00e9faite", 519]
["quartiers", 519]
["ligne", 518]
["plan", 517]
["arles", 517]
["h\u00f4tel", 514]
["bids", 513]
["entendu", 512]
["passer", 512]
["article", 510]
["message", 510]
["ob\u00e9ir", 510]
["super", 509]
["banque", 509]
["juin", 508]
["express", 503]
["famille", 502]
["regarde", 502]
["bureau", 501]
["jospin", 500]
["national", 500]
["celles", 500]
["perdu", 500]
["confirme", 500]
["ann\u00e9e", 499]
["arrive", 499]
["changer", 497]
["gros", 496]
["maroc", 496]
["peur", 494]
["sens", 493]
["rythmes", 493]
["mois", 492]
["journ\u00e9e", 491]
["the", 491]
["croire", 490]
["euros", 489]
["mot", 488]
["d\u00e9mocratie", 485]
["bank", 484]
["verte", 484]
["saint", 483]
["appel", 482]
["rassemblement", 480]
["politiques", 479]
["sait", 479]
["ouattara", 477]
["with", 476]
["actu", 475]
["heures", 473]
["voil\u00e0", 473]
["amis", 472]
["lundi", 472]
["conseil", 472]
["lci", 471]
["m\u00e9dias", 470]
["new", 469]
["cas", 468]
["vintage", 468]
["embrace", 467]
["\u00e8me", 466]
["compte", 465]
["justice", 464]
["nuit", 463]
["jusqu", 462]
["avril", 458]
["anti", 457]
["com", 457]
["dignit\u00e9", 456]
["hommage", 455]
["mesures", 454]
["f\u00eate", 453]
["millions", 452]
["larochelle", 452]
["communiqu\u00e9", 449]
["reformer", 448]
["lettre", 446]
["l\u2019invit\u00e9e", 446]
["puis", 445]
["m\u00e9nage", 444]
["citoyens", 444]
["afp", 444]
["salari\u00e9s", 444]
["agenda", 442]
["mis", 442]
["investiture", 441]
["gagn\u00e9", 440]
["donner", 440]
["scotland", 440]
["mariage", 439]
["beau", 437]
["fabius", 437]
["meilleure", 436]
["obs", 436]
["heure", 436]
["terrain", 435]
["social", 434]
["couple", 432]
["marc", 429]
["croissance", 429]
["sinon", 429]
["boursiers", 428]
["nucl\u00e9aire", 428]
["d\u00e9dicace", 428]
["rappel", 428]
["rouge", 426]
["parachutage", 424]
["radio", 424]
["voit", 423]
["janvier", 422]
["net", 422]
["\u00e9lus", 422]
["mercredi", 420]
["premi\u00e8res", 419]
["condamn\u00e9e", 418]
["bravitude", 417]
["rue", 417]
["banlieues", 417]
["commander", 417]
["top", 417]
["faillite", 416]
["emploi", 416]
["fort", 416]
["manque", 416]
["olivier", 414]
["bleu", 414]
["salle", 414]
["education", 412]
["prendre", 411]
["derni\u00e8re", 410]
["menu", 409]
["ambiance", 407]
["pro", 406]
["ensemble", 406]
["louis", 405]
["doute", 405]
["roi", 402]
["reportage", 402]
["republic", 400]
["accord", 400]
["bancaire", 400]
["mardi", 400]
["\u00e9tat", 399]
["vois", 399]
["v\u00e9rit\u00e9", 397]
["forces", 397]
["bataille", 395]
["chef", 394]
["probl\u00e8me", 393]
["assez", 393]
["op\u00e9ra", 392]
["thomas", 391]
["peuvent", 390]
["vsd", 390]
["bastille", 389]
["\u00e9tais", 389]
["ben", 388]
["passation", 388]
["parc", 387]
["kir", 386]
["places", 386]
["tiens", 384]
["cont", 384]
["bas", 384]
["match", 384]
["matinale", 381]
["soutenir", 381]
["preuve", 381]
["surprise", 379]
["flash", 379]
["rester", 379]
["claire", 378]
["cumul", 378]
["p\u00e9rip\u00e9ties", 377]
["excellent", 376]
["entendre", 376]
["classe", 376]
["condamnations", 375]
["tweet", 374]
["avais", 374]
["sang", 373]
["intervention", 373]
["affaire", 372]
["cop\u00e9", 372]
["seront", 371]
["chance", 371]
["c\u00f4t\u00e9", 370]
["attend", 369]
["bient\u00f4t", 369]
["garde", 368]
["d\u00e9bats", 367]
["nouvel", 367]
["scandales", 365]
["petite", 364]
["ordre", 364]
["pujadas", 364]
["forte", 363]
["promet", 363]
["cet", 363]
["titre", 362]
["libre", 362]
["niveau", 361]
["dur", 361]
["hors", 361]
["s\u00e9go", 360]
["compris", 359]
["hotel", 359]
["f\u00e9vrier", 359]
["public", 359]
["tacle", 358]
["htt", 358]
["r\u00e9p", 356]
["blue", 356]
["tweets", 356]
["surtout", 356]
["gagne", 355]
["midi", 355]
["id\u00e9e", 354]
["sortie", 354]
["ville", 353]
["r\u00e9pond", 352]
["meilleur", 351]
["camp", 350]
["vid\u00e9os", 350]
["maritime", 349]
["d\u00e9sirs", 349]
["mise", 349]
["centre", 349]
["nkm", 348]
["r\u00e9union", 348]
["militaire", 346]
["nombreux", 346]
["ouvriers", 345]
["ann\u00e9es", 345]
["\u00e9mission", 345]
["londres", 344]
["populaires", 344]
["sort", 343]
["bourdin", 342]
["teau", 342]
["art", 342]
["\u00e9lu", 341]
["putain", 341]
["mitterrand", 341]
["digne", 340]
["wattv", 340]
["cher", 340]
["versailles", 339]
["batho", 339]
["you", 338]
["exemple", 337]
["lexpress", 337]
["gueule", 336]
["dream", 336]
["totalement", 336]
["autant", 335]
["comit\u00e9", 335]
["pr\u00e9f\u00e8re", 335]
["rocard", 335]
["monceau", 334]
["trois", 333]
["seulement", 332]
["savoir", 332]
["excellente", 332]
["belkacem", 331]
["aim\u00e9", 331]
["suivre", 331]
["forme", 330]
["debat", 328]
["voterai", 326]
["rappelle", 326]
["jeu", 326]
["champagne", 326]
["continue", 325]
["entreprises", 325]
["veste", 325]
["second", 324]
["sept", 324]
["texte", 324]
["najat", 324]
["coeur", 324]
["plateau", 324]
["ladies", 324]
["rencontrer", 324]
["r\u00e9ponse", 323]
["possible", 323]
["capital", 322]
["haute", 321]
["tellement", 321]
["fond", 320]
["facebook", 320]
["royale", 320]
["\u00e9lection", 320]
["lgj", 319]
["souhaite", 319]
["pass\u00e9", 318]
["loin", 318]
["flush", 317]
["ciel", 316]
["homme", 315]
["cause", 314]
["images", 314]
["\u00e9lys\u00e9e", 314]
["sujet", 313]
["entends", 313]
["honte", 313]
["veulent", 311]
["barbier", 311]
["mazerolle", 311]
["heuliez", 310]
["circonscription", 310]
["porter", 310]
["mandats", 310]
["normal", 310]
["\u00e9viter", 309]
["vincennes", 309]
["d\u00e9put\u00e9e", 309]
["attention", 308]
["faites", 308]
["svp", 308]
["garden", 307]
["\u00e9conomique", 307]
["salviac", 307]
["venue", 307]
["mec", 306]
["choses", 306]
["disait", 306]
["quot", 306]
["solution", 306]
["pulvar", 305]
["peux", 305]
["dej", 305]
["sud", 304]
["caribbean", 304]
["fa\u00e7on", 303]
["citer", 303]
["bianco", 301]
["ouest", 300]
["arriv\u00e9e", 300]
["aucun", 299]
["reims", 299]
["argent", 299]
["grosse", 297]
["spectacle", 297]
["avis", 296]
["lib\u00e9", 296]
["pr\u00e9sence", 296]
["big", 295]
["nerfs", 294]
["web", 293]
["pourrait", 292]
["internet", 292]
["proche", 291]
["salue", 291]
["prince", 291]
["canada", 291]
["haut", 291]
["tours", 290]
["double", 290]
["ch\u00f4mage", 290]
["voie", 289]
["falcon", 289]
["humour", 288]
["stars", 288]
["grenoble", 288]
["maxime", 288]
["indign\u00e9e", 287]
["bonnes", 287]
["faux", 286]
["r\u00e8gles", 286]
["d\u00e9but", 286]
["parisien", 285]
["train", 284]
["magnifique", 284]
["concr\u00e8tes", 284]
["pourtant", 283]
["che", 283]
["voici", 283]
["utile", 283]
["votons", 283]
["nord", 282]
["itw", 282]
["avons", 281]
["society", 281]
["col\u00e8re", 280]
["morano", 280]
["mont", 280]
["sc\u00e8ne", 279]
["fran\u00e7aise", 278]
["cabinet", 278]
["aucune", 277]
["s\u00e9nat", 276]
["gironde", 276]
["esp\u00e8re", 276]
["voiture", 275]
["sea", 275]
["adele", 275]
["c\u0153ur", 275]
["elles", 275]
["espoir", 274]
["quelque", 273]
["phrase", 273]
["r\u00f4le", 273]
["vif", 273]
["dommage", 272]
["mots", 272]
["cru", 272]
["corrompu", 272]
["proposition", 272]
["buzz", 271]
["direction", 271]
["joffrin", 271]
["bono", 271]
["legislatives", 271]
["foule", 271]
["la\u2026", 270]
["dray", 270]
["explique", 269]
["reine", 269]
["sartrouville", 268]
["clair", 268]
["genre", 267]
["r\u00e9gions", 267]
["vaut", 267]
["bah", 267]
["envoy\u00e9", 266]
["mode", 266]
["avance", 265]
["actualit\u00e9", 265]
["important", 265]
["\u00e9taient", 265]
["domaine", 264]
["image", 264]
["mer", 262]
["peine", 262]
["guerre", 262]
["cours", 261]
["de\u2026", 261]
["signe", 261]
["chat", 261]
["unis", 260]
["michel", 260]
["pauvre", 260]
["exclu", 260]
["monsieur", 258]
["prends", 258]
["vite", 258]
["gandrange", 258]
["service", 258]
["brothers", 258]
["charentelibre", 257]
["film", 257]
["action", 256]
["blanc", 256]
["ouais", 255]
["chang\u00e9", 254]
["dette", 254]
["r\u00e9gional", 253]
["joue", 253]
["garot", 253]
["casseroles", 253]
["euh", 252]
["london", 252]
["m\u00e8re", 252]
["lehmann", 251]
["turkos", 251]
["syndicats", 251]
["cloche", 251]
["jacques", 250]
["guillaume", 250]
["dieu", 250]
["dites", 250]
["eux", 250]
["manger", 250]
["lemonde", 249]
["incroyable", 249]
["capacit\u00e9", 249]
["truc", 249]
["mac", 249]
["sauf", 249]
["parcours", 248]
["souvent", 248]
["rumble", 248]
["triste", 248]
["balai", 248]
["absolument", 248]
["enseignants", 248]
["ministres", 248]
["hein", 248]
["tir\u00e9", 248]
["j\u2019ai", 247]
["maison", 247]
["invit\u00e9", 247]
["clip", 246]
["vue", 246]
["propre", 245]
["plein", 245]
["mauvais", 245]
["v\u00e9rit\u00e9s", 245]
["jeune", 245]
["eacute", 244]
["adresse", 244]
["finance", 244]
["jupp\u00e9", 244]
["vallaud", 244]
["prochaine", 244]
["derri\u00e8re", 244]
["bonjour", 244]
["devoir", 244]
["plaisir", 244]
["pass\u00e9e", 244]
["perdre", 243]
["banlieue", 243]
["points", 243]
["fille", 242]
["sourire", 242]
["trait", 242]
["grave", 242]
["bar", 242]
["nan", 241]
["laisse", 241]
["love", 241]
["n\u00eemes", 241]
["r\u00e9ussi", 241]
["quelqu", 240]
["donn\u00e9", 239]
["anniversaire", 239]
["delphine", 239]
["bout", 239]
["d\u00e9ments", 239]
["pacte", 239]
["amour", 239]
["d\u00e9mens", 238]
["semble", 236]
["\u00e9trangers", 236]
["chier", 236]
["conseiller", 236]
["bagneux", 236]
["cousine", 236]
["fils", 236]
["menace", 236]
["deuxi\u00e8me", 235]
["r\u00e9sultats", 235]
["disponible", 235]
["rire", 235]
["rendre", 235]
["royalsegolene", 235]
["autorit\u00e9", 235]
["s\u00e9curit\u00e9", 235]
["anne", 235]
["mort", 234]
["christophe", 234]
["min", 234]
["roy", 233]
["lyon", 233]
["venir", 233]
["passage", 233]
["page", 233]
["house", 232]
["week", 232]
["d\u00e9jeuner", 232]
["fish", 232]
["ballet", 231]
["best", 231]
["soient", 231]
["confirm\u00e9", 231]
["vente", 231]
["morin", 230]
["paye", 230]
["bilan", 230]
["vieilles", 229]
["r\u00e9sultat", 229]
["comprendre", 228]
["poitiers", 228]
["oubli\u00e9", 227]
["\u00e9cologique", 227]
["parfaite", 227]
["entreprise", 227]
["itele", 227]
["populaire", 226]
["chemin", 226]
["majorit\u00e9", 226]
["\u00e9couter", 226]
["laisser", 226]
["doivent", 226]
["kate", 226]
["clash", 226]
["ruquier", 225]
["bourget", 225]
["tes", 225]
["dessus", 225]
["from", 224]
["vas", 224]
["instant", 223]
["circo", 223]
["majestic", 223]
["penser", 223]
["rdv", 223]
["magazine", 223]
["pr\u00e8s", 223]
["front", 223]
["ath\u00e9n\u00e9e", 222]
["humanit\u00e9", 222]
["ailleurs", 222]
["ressorte", 222]
["tva", 222]
["cr\u00e9ation", 222]
["mcdo", 222]
["caf\u00e9", 222]
["suffit", 222]
["family", 222]
["no\u00ebl", 222]
["envers", 221]
["exp\u00e9rience", 221]
["show", 221]
["\u00e9chec", 221]
["now", 221]
["jouyet", 221]
["jury", 221]
["industrie", 221]
["ere", 220]
["marie", 220]
["fout", 220]
["scolaire", 220]
["march\u00e9", 220]
["gaffe", 219]
["participative", 219]
["partisans", 219]
["marche", 219]
["groupe", 218]
["assassin", 218]
["coca", 218]
["tape", 217]
["\u00e9nergie", 217]
["encadrement", 217]
["affirme", 217]
["change", 216]
["presque", 216]
["d\u00e9sir", 216]
["travaille", 216]
["riches", 216]
["priorit\u00e9", 215]
["emplois", 215]
["mail", 215]
["festival", 215]
["greenpeace", 215]
["formation", 215]
["con", 215]
["boulevard", 214]
["pens\u00e9e", 214]
["quinquennat", 213]
["adore", 213]
["ouf", 213]
["annon", 213]
["remet", 212]
["cr\u00e9er", 212]
["kahn", 211]
["pr\u00e9sidentielles", 211]
["vraie", 211]
["engage", 211]
["\u00e9lectrique", 211]
["aide", 210]
["disent", 210]
["exclusif", 210]
["morale", 210]
["condamnation", 210]
["mod\u00e8le", 210]
["d\u00e9put\u00e9", 209]
["novembre", 209]
["d\u00e9couvrez", 209]
["anno", 209]
["etats", 208]
["voyage", 208]
["villeurbanne", 208]
["patron", 208]
["vive", 208]
["r\u00e9cente", 207]
["p\u00e8re", 207]
["occasion", 206]
["grenelle", 206]
["militante", 206]
["confiance", 206]
["all", 206]
["bordeaux", 206]
["haha", 206]
["pub", 205]
["offre", 205]
["cr\u00e9dible", 205]
["\u00e9norme", 205]
["retraite", 205]
["maxi", 205]
["mojito", 205]
["victoria", 205]
["jack", 205]
["crown", 204]
["aurais", 204]
["partout", 204]
["elections", 204]
["entr\u00e9e", 204]
["concours", 203]
["\u00e9coute", 203]
["opera", 203]
["feat", 203]
["muhlmann", 203]
["gu\u00e9ant", 203]
["calme", 203]
["importe", 203]
["revoir", 203]
["d\u2019un", 202]
["a\u00e9roport", 202]
["congr\u00e8s", 202]
["sortir", 202]
["rh\u00f4ne", 202]
["melle", 202]
["annule", 202]
["arr\u00eate", 201]
["rock", 201]
["\u00e9lections", 201]
["roya", 201]
["music", 201]
["erreur", 201]
["route", 201]
["golf", 201]
["engagements", 201]
["flamanville", 200]
["relais", 200]
["tribune", 200]
["juge", 200]
["decembre", 200]
["demander", 200]
["fous", 200]
["commission", 200]
["bcp", 200]
["ouvre", 200]
["dirait", 199]
["men", 198]
["remerci\u00e9", 198]
["pdt", 198]
["score", 198]
["voulez", 198]
["heureux", 197]
["solid", 197]
["refus\u00e9", 197]
["simple", 197]
["eelv", 197]
["pleure", 197]
["fid\u00e9lit\u00e9", 196]
["postes", 196]
["finalement", 195]
["strat\u00e9gie", 195]
["camarades", 195]
["soci\u00e9t\u00e9", 194]
["ferai", 194]
["out", 194]
["alerte", 193]
["sondeurs", 193]
["r\u00e9publicain", 193]
["dumas", 193]
["forum", 192]
["situation", 192]
["revient", 192]
["vise", 192]
["impression", 192]
["imagine", 191]
["sent", 191]
["permis", 191]
["maire", 191]
["cips", 191]
["rapport", 191]
["charles", 191]
["tre", 191]
["musique", 191]
["r\u00e9alis\u00e9", 190]
["ind\u00e9sirable", 190]
["choisi", 190]
["black", 190]
["dr\u00f4le", 190]
["position", 190]
["vulgaire", 189]
["lit", 189]
["devient", 189]
["d\u00e9cembre", 189]
["pouvoirs", 189]
["croit", 189]
["connais", 189]
["fut", 188]
["this", 188]
["fini", 188]
["combien", 188]
["poste", 187]
["pr\u00f4ne", 186]
["petits", 186]
["table", 186]
["rendu", 186]
["d\u00e9fend", 186]
["petites", 186]
["futur", 186]
["faisait", 186]
["mauvaise", 186]
["aupr\u00e8s", 186]
["ancien", 185]
["lepage", 185]
["\u00e9conomie", 185]
["d\u00e9fendre", 185]
["mireille", 184]
["m\u00e9tier", 184]
["conclusion", 184]
["heureusement", 184]
["sympa", 184]
["suivi", 184]
["james", 184]
["voulait", 183]
["jouer", 183]
["aaa", 183]
["palais", 183]
["comprends", 183]
["trouver", 183]
["difficile", 182]
["ami", 182]
["bonus", 182]
["debatps", 182]
["\u00e9crit", 181]
["prestige", 181]
["s\u00fbre", 181]
["just", 181]
["retrouve", 181]
["circus", 180]
["hop", 180]
["avaient", 180]
["minist\u00e8re", 180]
["puissante", 180]
["gr\u00e8ce", 179]
["si\u00e8ge", 179]
["strasbourg", 179]
["responsabilit\u00e9", 179]
["pacha", 179]
["presidentielle", 179]
["cool", 179]
["vent", 179]
["pleine", 179]
["limousine", 179]
["th\u00e9", 179]
["prison", 179]
["william", 179]
["retrouvez", 178]
["esp\u00e9rance", 178]
["affaires", 178]
["diff\u00e9rence", 178]
["sociale", 178]
["bain", 178]
["rugby", 178]
["bonheur", 177]
["perso", 177]
["millesime", 177]
["chasse", 177]
["chapitre", 177]
["\u00e9dition", 177]
["white", 177]
["vietnam", 176]
["limousin", 176]
["urgent", 176]
["r\u00e9daction", 176]
["fiscale", 175]
["scoop", 175]
["royalties", 175]
["couch\u00e9", 175]
["publi\u00e9", 175]
["sant\u00e9", 174]
["nombre", 174]
["etc", 174]
["volont\u00e9", 174]
["travaill\u00e9", 174]
["conf\u00e9rence", 173]
["r\u00eave", 173]
["regarder", 173]
["folle", 173]
["euro", 173]
["rend", 173]
["smic", 173]
["daily", 173]
["cruche", 172]
["gol", 172]
["r\u00e9action", 172]
["pouvez", 172]
["citoyen", 172]
["trouv\u00e9", 172]
["effet", 172]
["remis", 172]
["ecologie", 172]
["region", 172]
["fraternit\u00e9", 172]
["decameron", 171]
["valeurs", 171]
["off", 171]
["liked", 171]
["comptes", 171]
["pr\u00e9senter", 171]
["pizza", 171]
["sport", 171]
["laurent", 171]
["interdiction", 170]
["angleterre", 170]
["d\u00e9cision", 170]
["s\u00e9n\u00e9gal", 170]
["academy", 170]
["parempuyre", 169]
["lanc\u00e9e", 169]
["r\u00e9gionale", 169]
["solferino", 169]
["lien", 169]
["plusieurs", 168]
["rose", 168]
["rassembler", 168]
["actes", 168]
["devenir", 168]
["feu", 168]
["loyaut\u00e9", 167]
["audio", 167]
["pied", 167]
["original", 167]
["banquier", 167]
["estime", 167]
["time", 166]
["continuer", 166]
["claques", 166]
["investitureps", 166]
["edgar", 165]
["nouvelles", 165]
["game", 165]
["n\u2019a", 165]
["rare", 164]
["ferveur", 164]
["salope", 164]
["battre", 164]
["pose", 164]
["mentir", 164]
["ancienne", 163]
["ovation", 163]
["wristwatch", 163]
["essence", 163]
["n\u2019ai", 163]
["immunit\u00e9", 163]
["centristes", 163]
["phrases", 163]
["don", 163]
["accueil", 163]
["lille", 163]
["r\u00e9alis\u00e9e", 162]
["real", 162]
["supporters", 162]
["fans", 162]
["rejoindre", 162]
["grandes", 162]
["culture", 162]
["abord", 162]
["aurai", 162]
["gala", 162]
["franchement", 161]
["urnes", 161]
["longtemps", 161]
["sp\u00e9ciale", 161]
["critiquent", 161]
["soleil", 160]
["belgique", 160]
["h\u00f4pital", 160]
["industrielle", 160]
["suivez", 160]
["sunday", 159]
["holl", 159]
["sale", 159]
["sego", 159]
["interdire", 159]
["finir", 159]
["le\u2026", 158]
["voila", 158]
["eurovision", 158]
["battue", 158]
["pourra", 157]
["ptit", 157]
["\u00e9trange", 157]
["marrakech", 157]
["radiolondres", 157]
["pouvait", 157]
["cul", 157]
["puissance", 157]
["long", 157]
["julliard", 157]
["arriver", 156]
["pr\u00e9cise", 156]
["originalit\u00e9", 156]
["one", 156]
["final", 156]
["version", 156]
["copi\u00e9", 156]
["nomination", 156]
["economisez", 156]
["ruth", 156]
["king", 155]
["charge", 155]
["claque", 155]
["oct", 155]
["bercy", 155]
["\u00e9poque", 155]
["propos\u00e9", 155]
["david", 155]
["pont", 155]
["grands", 155]
["mia", 154]
["patrick", 154]
["bel", 154]
["replay", 154]
["voulu", 154]
["maurane", 154]
["apporte", 154]
["matignon", 154]
["malgr\u00e9", 154]
["r\u00e9alit\u00e9", 153]
["dingue", 153]
["compagnie", 153]
["tard", 153]
["chercher", 153]
["aga\u00e7ante", 153]
["diffamatoires", 153]
["elkabbach", 153]
["m\u00e9rite", 153]
["strauss", 153]
["absence", 152]
["romance", 152]
["attends", 152]
["pensez", 152]
["jdd", 152]
["star", 152]
["infos", 152]
["\u00e9l\u00e8ves", 152]
["vit", 152]
["payer", 152]
["retrouver", 151]
["parents", 151]
["d\u00e9clar\u00e9", 151]
["ariane", 151]
["condamn\u00e9", 151]
["moscovici", 151]
["was", 151]
["vivre", 151]
["vice", 151]
["diffamation", 151]
["lutter", 151]
["imitent", 150]
["royal\u2026", 150]
["restaurant", 150]
["\u00e9galit\u00e9", 150]
["vieux", 150]
["m\u00eames", 150]
["blague", 149]
["pr\u00e9vu", 149]
["votes", 149]
["denis", 149]
["faute", 149]
["facile", 149]
["parachut\u00e9e", 149]
["le\u00e7on", 149]
["path\u00e9tique", 149]
["comprend", 148]
["loyal", 148]
["profs", 148]
["yeux", 148]
["hol", 148]
["lcp", 148]
["promis", 148]
["holla", 148]
["movement", 148]
["marque", 148]
["compagnon", 148]
["montr\u00e9al", 147]
["cherche", 147]
["confessions", 147]
["world", 147]
["risque", 147]
["party", 147]
["pr\u00e9pare", 147]
["coupe", 147]
["reloaded", 147]
["urgence", 147]
["catch", 147]
["coll\u00e8ge", 146]
["participer", 146]
["polony", 146]
["d\u00e9clarations", 146]
["bulletin", 146]
["faite", 146]
["quartier", 146]
["cadeau", 146]
["efficaces", 145]
["quatre", 145]
["amie", 145]
["engagement", 145]
["pr\u00e9f\u00e9r\u00e9", 145]
["noisy", 145]
["symbole", 145]
["classes", 145]
["liverpool", 145]
["annonc\u00e9", 145]
["chocolat", 144]
["nouveaux", 144]
["reconqu\u00eate", 144]
["qualit\u00e9s", 144]
["parachute", 144]
["droits", 144]
["d\u00e9part", 144]
["honneur", 143]
["parl\u00e9", 143]
["r\u00e9pondre", 143]
["mari", 143]
["si\u00e8cle", 143]
["haircolor", 143]
["fonction", 143]
["historique", 143]
