["france", 35038]
["manque", 1332]
["forum", 1330]
["annonce", 1329]
["agriculture", 1325]
["lol", 1306]
["monsieur", 1303]
["compris", 1301]
["grande", 1297]
["\u00e9conomie", 1287]
["d\u00e9veloppement", 1285]
["\u00e9conomique", 1284]
["devoir", 1284]
["derni\u00e8re", 1282]
["surtout", 1280]
["bfm", 1279]
["eux", 1264]
["ligne", 1257]
["heure", 1255]
["affiche", 1252]
["poitiers", 1252]
["appel", 1248]
["partie", 1246]
["passer", 1232]
["slogan", 1228]
["volont\u00e9", 1226]
["video", 1221]
["nancy", 1215]
["education", 1211]
["officiel", 1208]
["croire", 1206]
["change", 1205]
["souhaite", 1205]
["d\u00e9but", 1204]
["dijon", 1198]
["millions", 1198]
["aucune", 1193]
["jeudi", 1190]
["honn\u00eate", 1188]
["associations", 1185]
["semaine", 1184]
["regarder", 1181]
["ann\u00e9e", 1180]
["d\u00e9mocratique", 1179]
["live", 1176]
["militants", 1174]
["donner", 1172]
["mesure", 1169]
["article", 1167]
["plein", 1166]
["twitte", 1166]
["canal", 1163]
["allemagne", 1161]
["c\u2019est", 1154]
["refuse", 1154]
["ind\u00e9pendance", 1151]
["voil\u00e0", 1149]
["htt", 1144]
["tweets", 1140]
["position", 1140]
["\u00e9lus", 1137]
["s\u00e9nateurs", 1135]
["d\u00e9fend", 1132]
["cause", 1130]
["retrouver", 1127]
["livre", 1126]
["niveau", 1125]
["savoir", 1123]
["regarde", 1123]
["grands", 1120]
["visite", 1117]
["dix", 1116]
["seront", 1116]
["citoyen", 1114]
["pris", 1114]
["sant\u00e9", 1113]
["rencontre", 1113]
["solution", 1110]
["elys\u00e9e", 1108]
["perpignan", 1105]
["vrais", 1105]
["publiques", 1104]
["relever", 1096]
["mai", 1095]
["audi", 1093]
["unit\u00e9", 1092]
["disent", 1090]
["actes", 1090]
["cumul", 1089]
["int\u00e9r\u00eat", 1086]
["\u00e9lections", 1084]
["national", 1083]
["hausse", 1083]
["tousavecbayrou", 1082]
["veritablevote", 1074]
["beau", 1074]
["\u00e9quilibre", 1072]
["vraie", 1071]
["fili\u00e8re", 1069]
["tweet", 1068]
["votezbayrou", 1067]
["soutient", 1065]
["nombreux", 1064]
["torchet", 1058]
["voterai", 1057]
["moyens", 1055]
["arrive", 1053]
["enseignants", 1052]
["vois", 1051]
["commence", 1051]
["publics", 1050]
["qualit\u00e9", 1048]
["responsabilit\u00e9", 1047]
["reconstruire", 1039]
["loin", 1039]
["r\u00e9duire", 1035]
["gagne", 1034]
["langue", 1033]
["lepen", 1032]
["promesses", 1031]
["dialogue", 1030]
["assembl\u00e9e", 1027]
["livetweet", 1027]
["arthuis", 1025]
["responsable", 1023]
["intervention", 1021]
["euros", 1016]
["entreprise", 1015]
["forces", 1013]
["pourrait", 1012]
["blog", 1005]
["texte", 996]
["salaires", 995]
["bayrounum", 995]
["logement", 995]
["chemin", 994]
["label", 993]
["r\u00e9pond", 991]
["jusqu", 991]
["s\u00e9rieux", 989]
["mandats", 989]
["croissance", 986]
["\u00e9couter", 986]
["europ\u00e9enne", 984]
["esp\u00e8re", 983]
["permis", 983]
["belle", 982]
["rendez", 980]
["pme", 979]
["envie", 979]
["lance", 979]
["europ\u00e9en", 978]
["cours", 976]
["min", 968]
["terme", 964]
["sort", 963]
["important", 962]
["rue", 959]
["lundi", 959]
["favorable", 959]
["premiers", 953]
["convaincre", 952]
["venir", 949]
["petites", 946]
["motscroises", 945]
["seulement", 943]
["finances", 943]
["express", 941]
["entendre", 938]
["revivez", 933]
["vivre", 931]
["affaire", 930]
["t\u00e9l\u00e9", 928]
["puis", 927]
["gros", 926]
["croit", 926]
["rendre", 925]
["grandjury", 923]
["soient", 922]
["respect", 920]
["joue", 919]
["\u00e9conomies", 918]
["choisir", 916]
["proposer", 916]
["comptes", 916]
["suite", 916]
["mlp", 914]
["venez", 912]
["populaire", 911]
["pr\u00e9sidence", 910]
["cr\u00e9ation", 907]
["chance", 906]
["midi", 904]
["bonnes", 904]
["mediapart", 903]
["regis", 903]
["mis", 902]
["rejoint", 901]
["mots", 901]
["d\u00e9fendre", 901]
["jupp\u00e9", 900]
["faux", 900]
["c\u00f4t\u00e9s", 900]
["elles", 899]
["marche", 899]
["orange", 898]
["president", 896]
["annecy", 895]
["mesures", 895]
["coeur", 894]
["m\u00eames", 892]
["d\u00e9couvrez", 888]
["r\u00e9ponses", 887]
["priorit\u00e9", 886]
["effet", 886]
["simple", 885]
["c\u00f4t\u00e9", 884]
["prochain", 882]
["bois", 876]
["tiens", 872]
["cher", 872]
["dirigeants", 872]
["gu\u00e9ant", 866]
["surendettement", 865]
["deuxi\u00e8me", 864]
["inter", 864]
["yljb", 864]
["libert\u00e9", 863]
["et\u2026", 863]
["l\u00e9gislatives", 861]
["redressement", 860]
["europ\u00e9ens", 860]
["existe", 860]
["quelqu", 860]
["battre", 858]
["air", 854]
["exemple", 853]
["pr\u00e9sent", 852]
["d\u00e9voile", 851]
["rassembler", 851]
["rapport", 851]
["photo", 850]
["la\u2026", 849]
["gr\u00e8ce", 847]
["viens", 847]
["culture", 847]
["top", 847]
["ind\u00e9cis", 845]
["financement", 844]
["journ\u00e9e", 843]
["attention", 842]
["message", 841]
["pensez", 841]
["redresser", 841]
["produits", 841]
["march\u00e9", 841]
["co\u00fbt", 840]
["voeux", 838]
["besan\u00e7on", 836]
["cadre", 836]
["absolument", 836]
["gouverner", 834]
["charge", 833]
["augmenter", 833]
["perdu", 833]
["troisi\u00e8me", 833]
["mani\u00e8re", 833]
["minist\u00e8re", 831]
["confirme", 830]
["combat", 829]
["affaires", 827]
["instant", 826]
["faudra", 821]
["retraite", 821]
["cour", 819]
["r\u00e9alit\u00e9", 816]
["sauf", 816]
["proche", 815]
["service", 815]
["permet", 815]
["moraliser", 814]
["mauvais", 814]
["peux", 813]
["votons", 811]
["eelv", 811]
["argent", 808]
["faute", 807]
["responsables", 806]
["rappelle", 805]
["sinon", 805]
["lcp", 802]
["lutte", 801]
["peur", 800]
["enfant", 799]
["chef", 797]
["forme", 797]
["les\u2026", 794]
["gaullistes", 794]
["relancer", 793]
["page", 793]
["avis", 791]
["ben", 790]
["csa", 790]
["vite", 787]
["journaliste", 786]
["news", 785]
["congr\u00e8s", 783]
["m\u00e9rite", 782]
["cpolitique", 781]
["bayroupr\u00e9sident", 780]
["g\u00e9n\u00e9ral", 778]
["super", 777]
["paha", 777]
["continue", 770]
["pose", 769]
["semble", 768]
["participez", 768]
["d\u00e9claration", 768]
["yade", 767]
["fdg", 766]
["pierre", 764]
["victoire", 763]
["dommage", 762]
["avance", 760]
["concr\u00e8tes", 759]
["radio", 759]
["reconnaissance", 758]
["analyse", 756]
["meilleure", 756]
["baisse", 756]
["barre", 755]
["forte", 754]
["achat", 753]
["ellescpo", 753]
["essentiel", 753]
["peuvent", 752]
["p\u00e8re", 752]
["s\u00e9curit\u00e9", 751]
["\u00e9coute", 750]
["recherche", 749]
["promet", 749]
["nom", 749]
["pass\u00e9", 748]
["doute", 747]
["grandes", 746]
["voulez", 743]
["trouver", 742]
["mardi", 742]
["solutions", 741]
["guerre", 741]
["charges", 741]
["courageux", 737]
["critique", 736]
["sortie", 735]
["estime", 735]
["n\u00e9cessaire", 735]
["ch\u00f4meurs", 734]
["attend", 734]
["effort", 734]
["classe", 734]
["nous\u2026", 734]
["\u00e9viter", 733]
["ailleurs", 733]
["jeune", 732]
["\u00e9crit", 729]
["mentir", 729]
["durable", 728]
["efforts", 726]
["unique", 724]
["hashtag", 721]
["choisi", 721]
["action", 721]
["long", 720]
["voie", 719]
["soir\u00e9e", 719]
["pr\u00e9f\u00e8re", 718]
["francais", 717]
["votent", 717]
["conf\u00e9rence", 716]
["vive", 716]
["moyen", 715]
["sauver", 715]
["droits", 714]
["aider", 714]
["route", 714]
["mati\u00e8re", 714]
["jouer", 712]
["imp\u00f4ts", 712]
["trois", 712]
["samedi", 710]
["quelque", 710]
["r\u00f4le", 709]
["intentions", 708]
["concret", 705]
["rochefort", 704]
["futur", 704]
["actualit\u00e9", 701]
["pr\u00e8s", 699]
["opinion", 698]
["lib\u00e9", 698]
["pr\u00eat", 697]
["risque", 697]
["femme", 697]
["souvent", 696]
["postes", 695]
["preuve", 695]
["erreur", 693]
["f\u00e9vrier", 693]
["bcp", 692]
["petite", 691]
["ancien", 690]
["propos\u00e9", 689]
["viennent", 687]
["venu", 687]
["umps", 687]
["photos", 686]
["devient", 685]
["bonjour", 685]
["d\u00e9sormais", 683]
["le\u2026", 683]
["payer", 682]
["actu", 678]
["r\u00e9forme", 678]
["suisses", 677]
["ifop", 677]
["tellement", 676]
["d\u00e9pense", 676]
["parlement", 675]
["parisien", 674]
["r\u00e9aliste", 674]
["longtemps", 674]
["election", 672]
["fa\u00e7on", 672]
["r\u00e9volution", 671]
["tenir", 670]
["penser", 669]
["d\u00e9fense", 669]
["division", 668]
["semaines", 668]
["programmes", 666]
["surprise", 666]
["paroledirecte", 665]
["pourtant", 665]
["aupr\u00e8s", 665]
["conseil", 665]
["travailler", 664]
["roule", 663]
["votes", 663]
["maison", 661]
["dehors", 661]
["pouvez", 661]
["mise", 661]
["mec", 660]
["cherche", 659]
["plateau", 659]
["transparence", 658]
["rappel", 655]
["conviction", 655]
["destin", 654]
["avais", 654]
["raisons", 654]
["laisser", 653]
["pro", 653]
["r\u00e8gle", 652]
["fonction", 652]
["kahn", 651]
["entendu", 651]
["impossible", 650]
["proportionnelle", 650]
["janvier", 648]
["rama", 648]
["gueule", 647]
["carte", 646]
["normal", 646]
["suffrage", 645]
["nouvel", 645]
["retraites", 644]
["construire", 644]
["comprendre", 643]
["monte", 643]
["popularit\u00e9", 640]
["course", 640]
["barom\u00e8tre", 639]
["vue", 638]
["meetings", 635]
["lenglet", 635]
["petits", 634]
["eme", 634]
["lachaine", 634]
["mort", 633]
["suffit", 632]
["rdv", 631]
["comprends", 630]
["pouvons", 629]
["dessus", 627]
["dimancheplus", 626]
["capable", 626]
["match", 625]
["faudrait", 625]
["d\u00e9penser", 623]
["mode", 621]
["application", 620]
["pr\u00f4ne", 620]
["int\u00e9ressant", 620]
["anti", 619]
["\u00e9lectorale", 619]
["ambiance", 619]
["maire", 618]
["climat", 617]
["socialiste", 617]
["imposer", 617]
["main", 616]
["ceci", 616]
["garde", 616]
["zone", 613]
["supprimer", 613]
["ordre", 612]
["bourdin", 612]
["convaincu", 612]
["institutions", 612]
["r\u00e9sistance", 611]
["comit\u00e9", 611]
["dsk", 609]
["marque", 609]
["trouv\u00e9", 606]
["pression", 606]
["six", 605]
["sarkhollandisation", 605]
["dumas", 604]
["bient\u00f4t", 603]
["arriv\u00e9e", 603]
["score", 603]
["pujadas", 601]
["lib\u00e9ration", 601]
["signe", 601]
["r\u00e9alisme", 601]
["invite", 601]
["buzz", 601]
["table", 600]
["urgence", 600]
["flash", 599]
["mariage", 599]
["voici", 599]
["alain", 597]
["g\u00e9n\u00e9ration", 597]
["gaulle", 597]
["\u00e9tais", 597]
["perdre", 596]
["rigueur", 595]
["services", 594]
["orthophonistes", 594]
["nucl\u00e9aire", 591]
["sc\u00e8ne", 591]
["lien", 591]
["chacun", 591]
["d\u00e9magogie", 591]
["baisser", 590]
["r\u00e9flexion", 589]
["passage", 589]
["bref", 588]
["lutter", 588]
["ferai", 588]
["\u00e9lectorales", 586]
["s\u00e9nat", 586]
["nation", 586]
["sert", 585]
["annonc\u00e9", 584]
["pourra", 581]
["matinale", 581]
["puisse", 581]
["aide", 579]
["partage", 578]
["devenir", 577]
["pr\u00e9sidentiel", 575]
["voitures", 574]
["pire", 574]
["montre", 571]
["mercredi", 570]
["camp", 566]
["milieu", 566]
["aaa", 565]
["retrouve", 565]
["parl\u00e9", 563]
["explique", 563]
["mains", 562]
["r\u00eave", 561]
["sociaux", 561]
["occasion", 560]
["tient", 559]
["r\u00e9pondre", 558]
["contraire", 558]
["facebook", 557]
["vendredi", 556]
["homoparentalit\u00e9", 555]
["d\u00e9mocrate", 555]
["mensonges", 554]
["\u00e9taient", 554]
["plaisir", 554]
["pau", 554]
["n\u2019est", 553]
["prestation", 553]
["oublions", 552]
["former", 550]
["rire", 550]
["adresse", 549]
["m\u00e9dia", 549]
["r\u00e9duction", 548]
["moiti\u00e9", 548]
["r\u00e9seaux", 547]
["ami", 545]
["canalplus", 545]
["matignon", 544]
["arriver", 544]
["chiffres", 544]
["gifl\u00e9", 544]
["mazerolle", 544]
["suivi", 543]
["perc\u00e9e", 542]
["herv\u00e9", 542]
["pr\u00e9cis", 541]
["capacit\u00e9", 539]
["hors", 539]
["agoravox", 537]
["vouloir", 537]
["extr\u00eame", 537]
["cite", 537]
["industrie", 537]
["personnalit\u00e9s", 536]
["dos", 535]
["n\u2019a", 535]
["budget", 533]
["afp", 533]
["rejoindre", 533]
["finance", 532]
["universel", 532]
["jou\u00e9", 532]
["col\u00e8re", 530]
["notamment", 530]
["fils", 530]
["poser", 529]
["phrase", 529]
["euh", 529]
["impression", 529]
["campagnes", 528]
["hauteur", 526]
["demander", 526]
["opinions", 525]
["fog", 525]
["terrain", 525]
["lpj", 524]
["laisse", 524]
["\u00e9tudiants", 524]
["comprend", 523]
["etc", 523]
["importe", 523]
["formation", 522]
["cont", 522]
["voulons", 522]
["haute", 521]
["alliance", 521]
["d\u00e9fends", 521]
["placeaupeuple", 520]
["tentative", 520]
["espagne", 519]
["diff\u00e9rence", 518]
["logique", 518]
["d\u00e9cid\u00e9", 518]
["honte", 517]
["derni\u00e8res", 517]
["foi", 517]
["attaque", 517]
["commerce", 516]
["acte", 515]
["poste", 515]
["combien", 515]
["mutuelle", 515]
["primaire", 514]
["mouvement", 513]
["michel", 513]
["\u00e8re", 512]
["lci", 512]
["remettre", 511]
["efficace", 511]
["corse", 511]
["infos", 510]
["delors", 509]
["heureux", 508]
["votera", 508]
["certain", 508]
["allemand", 508]
["pensent", 508]
["bilan", 507]
["des\u2026", 506]
["secours", 506]
["finir", 506]
["itele", 506]
["marre", 505]
["saint", 504]
["illusion", 504]
["sinc\u00e8re", 503]
["d\u00e9marche", 501]
["lequel", 500]
["plusieurs", 500]
["pr\u00e9f\u00e9r\u00e9", 499]
["recours", 499]
["ferait", 499]
["tel", 499]
["repr\u00e9sente", 499]
["ferme", 498]
["malgr\u00e9", 496]
["it\u00e9l\u00e9", 496]
["fasse", 496]
["mer", 495]
["pour\u2026", 495]
["s\u00e9cu", 495]
["exclusif", 495]
["esprit", 495]
["appellent", 494]
["humour", 494]
["autorit\u00e9", 494]
["pol", 493]
["d\u00e9put\u00e9", 492]
["fonctionne", 492]
["posez", 492]
["parlent", 492]
["savent", 492]
["mauvaise", 492]
["revenir", 491]
["note", 489]
["grave", 489]
["bout", 489]
["motscrois\u00e9s", 488]
["\u00e9l\u00e8ves", 488]
["humanisme", 488]
["ipsos", 487]
["interdiction", 487]
["drame", 487]
["seuls", 486]
["lecture", 486]
["r\u00e9actions", 485]
["tombe", 485]
["humain", 485]
["phrases", 485]
["guignols", 485]
["entend", 484]
["presque", 484]
["participer", 484]
["membres", 483]
["chirac", 482]
["enjeux", 482]
["innovation", 482]
["pdt", 482]
["banlieue", 482]
["facile", 482]
["immigration", 481]
["foule", 481]
["agriculteurs", 481]
["agit", 481]
["revoir", 481]
["sent", 480]
["coh\u00e9rence", 479]
["wtf", 478]
["montrer", 478]
["tuerie", 478]
["agence", 478]
["tribune", 476]
["peine", 476]
["ennemi", 475]
["propre", 474]
["prenons", 474]
["vaut", 474]
["geek", 473]
["centrale", 473]
["jlm", 473]
["jeveuxundebat", 472]
["fran\u00e7aises", 471]
["difficile", 471]
["pleine", 471]
["uns", 471]
["imposition", 470]
["brefjevotebayrou", 470]
["pr\u00e9sence", 470]
["regardez", 469]
["halle", 469]
["v\u00e9ritable", 468]
["engagements", 468]
["robert", 466]
["terre", 466]
["d\u00e9bats", 465]
["voisins", 465]
["engagement", 463]
["\u00e9nergie", 463]
["voulu", 463]
["ville", 463]
["interdire", 463]
["excellente", 462]
["fonctionnaires", 462]
["vingtaine", 462]
["appartient", 461]
["d\u00e9faut", 460]
["perte", 460]
["int\u00e9r\u00eats", 460]
["convictions", 460]
["referendum", 459]
["cop\u00e9", 459]
["d\u00e9cisions", 459]
["ralliements", 458]
["tard", 458]
["listes", 458]
["r\u00e8gles", 457]
["francesolidaire", 457]
["mou", 457]
["r\u00e9gionales", 456]
["objectif", 455]
["suppression", 454]
["r\u00e9publicain", 454]
["jacques", 453]
["tort", 453]
["fini", 453]
["chercher", 453]
["ouvrir", 452]
["dites", 452]
["danger", 452]
["lib\u00e9ral", 452]
["police", 451]
["discriminations", 451]
["continuer", 451]
["th\u00e8me", 451]
["abord", 451]
["agricole", 451]
["pic", 449]
["march\u00e9s", 448]
["sia", 447]
["revient", 447]
["central", 447]
["enseignement", 446]
["dur", 446]
["mdr", 446]
["com", 445]
["dr\u00f4le", 445]
["direction", 444]
["ext\u00e9rieur", 444]
["tractage", 444]
["p\u00eache", 443]
["sympa", 443]
["humaniste", 443]
["henri", 443]
["convaincant", 442]
["cap", 442]
["condamn\u00e9", 442]
["donn\u00e9", 442]
["partout", 441]
["dassier", 441]
["\u00e9cologie", 441]
["volontaires", 441]
["banques", 440]
["coh\u00e9rent", 440]
["imp\u00f4t", 439]
["possibilit\u00e9", 439]
["parlementaires", 439]
["moyennes", 439]
["directe", 439]
["favorables", 438]
["hommage", 438]
["faisons", 437]
["engage", 437]
["pts", 437]
["ministres", 436]
["g\u00e9n\u00e9rale", 436]
["sofres", 434]
["familles", 434]
["falloir", 433]
["prise", 433]
["adore", 433]
["humanistes", 433]
["fillon", 433]
["corruption", 433]
["r\u00e9sister", 432]
["d\u00e9fis", 432]
["simplement", 432]
["vent", 431]
["oubliez", 431]
["type", 431]
["diversit\u00e9", 431]
["cinq", 430]
["bah", 430]
["taux", 430]
["accepter", 430]
["genre", 429]
["l\u2019histoire", 429]
["r\u00e9ussite", 427]
["pied", 426]
["militant", 425]
["alternative", 425]
["claire", 424]
["rocard", 424]
["prod", 423]
["leviers", 423]
["libres", 422]
["revenu", 421]
["renforcer", 421]
["franchement", 420]
["rend", 420]
["\u00e9voque", 420]
["lexpress", 420]
["besancon", 419]
["vraies", 418]
["relance", 418]
["\u00e9trangers", 418]
["tns", 416]
["riches", 416]
["exige", 415]
["valeur", 414]
["accueil", 414]
["strat\u00e9gies", 413]
["augmentation", 413]
["radioj", 413]
["\u00e9tudiant", 413]
["court", 412]
["organisation", 412]
["gvt", 412]
["\u00e9galement", 412]
["pouvoirs", 411]
["mur", 410]
["parit\u00e9", 410]
["aust\u00e9rit\u00e9", 410]
["d\u00e9cision", 410]
["constitution", 408]
["d\u00e9placement", 407]
["dons", 407]
["uniquement", 407]
["ralliement", 407]
["cartes", 407]
["udf", 406]
["finalement", 405]
["bus", 405]
["pens\u00e9e", 405]
["d\u00e9cembre", 404]
["difficult\u00e9s", 404]
["accuse", 404]
["urgences", 403]
["grosse", 403]
["faveur", 403]
["bretagne", 402]
["choc", 401]
["ouverture", 401]
["\u00e9norme", 401]
["cl\u00e9", 401]
["claude", 401]
["expliquer", 400]
["r\u00e9gion", 399]
["arr\u00eater", 399]
["bons", 399]
["pratiques", 399]
["du\u2026", 399]
["nouvelles", 399]
["disait", 398]
["dynamique", 398]
["entasse", 398]
["en\u2026", 397]
["aurais", 396]
["yann", 396]
["redonner", 394]
["rejoins", 394]
["p\u00e9riode", 394]
["formidable", 394]
["voiture", 393]
["milliers", 393]
["cheminade", 393]
["parents", 392]
["permettra", 392]
["stop", 392]
["rallier", 391]
["monter", 391]
["savez", 391]
["exclu", 391]
["bataille", 391]
["commissariat", 391]
["celles", 390]
["achetez", 390]
["pr\u00e9senter", 390]
["jeunesse", 390]
["la\u00efcit\u00e9", 390]
["entr\u00e9e", 389]
["civilisation", 389]
["twittos", 389]
["fou", 389]
["lancement", 389]
["mandat", 388]
["tourner", 388]
["anne", 388]
["disant", 387]
["s\u00e9nateur", 387]
["sorte", 387]
["soutenu", 387]
["prof", 387]
["pub", 384]
["tweeter", 384]
["bienvenue", 384]
["konamicode", 384]
["derniers", 384]
["rester", 384]
["proches", 384]
["totalement", 383]
["acc\u00e8s", 383]
["priorit\u00e9s", 383]
["front", 383]
["dise", 382]
["reconnaitre", 382]
["fier", 382]
["micro", 381]
["in\u00e9galit\u00e9s", 381]
["italie", 381]
["soyez", 381]
["obligation", 381]
["jevotebayrou", 380]
["lorsqu", 380]
["\u00e9cologique", 380]
["clermont", 379]
["chine", 379]
["m\u00e9thode", 379]
["officiellement", 379]
["titre", 379]
["n\u00e9cessit\u00e9", 378]
["dirait", 378]
["r\u00e9action", 377]
